"94.7,"
"3766 .png , -1.0"
"3772 .png , 1.0"
"1165 .png , 1.0"
"397 .png , -1.0"
"4753 .png , 1.0"
"2322 .png , 1.0"
"2444 .png , 1.0"
"3982 .png , 1.0"
"4035 .png , 1.0"
"1159 .png , 1.0"
"2450 .png , 1.0"
"3996 .png , 1.0"
"4021 .png , 1.0"
"3028 .png , 1.0"
"4747 .png , -1.0"
"2336 .png , 1.0"
"340 .png , 1.0"
"426 .png , 1.0"
"3969 .png , 1.0"
"1818 .png , -1.0"
"354 .png , 1.0"
"4790 .png , 1.0"
"1830 .png , 1.0"
"3799 .png , 1.0"
"3941 .png , 1.0"
"2493 .png , 1.0"
"3955 .png , 1.0"
"1824 .png , 1.0"
"4784 .png , -1.0"
"3943 .png , -1.0"
"418 .png , 1.0"
"1832 .png , 1.0"
"4792 .png , 1.0"
"4786 .png , 1.0"
"1826 .png , -1.0"
"1198 .png , 1.0"
"3957 .png , 1.0"
"2491 .png , 1.0"
"424 .png , 1.0"
"342 .png , 1.0"
"356 .png , 1.0"
"4962 .png , -1.0"
"430 .png , 1.0"
"3758 .png , -1.0"
"4037 .png , -1.0"
"3980 .png , 1.0"
"2446 .png , 1.0"
"4989 .png , 1.0"
"2320 .png , 1.0"
"4751 .png , 1.0"
"4745 .png , 1.0"
"4023 .png , -1.0"
"3994 .png , -1.0"
"2452 .png , -1.0"
"3764 .png , -1.0"
"1173 .png , 1.0"
"381 .png , 1.0"
"3002 .png , -1.0"
"2308 .png , -1.0"
"4779 .png , 1.0"
"3016 .png , -1.0"
"395 .png , 1.0"
"1601 .png , 1.0"
"3770 .png , 1.0"
"4590 .png , 1.0"
"3599 .png , 1.0"
"2687 .png , 1.0"
"2693 .png , 1.0"
"96 .png , 1.0"
"168 .png , 1.0"
"140 .png , 1.0"
"2863 .png , 1.0"
"626 .png , 1.0"
"2877 .png , 1.0"
"154 .png , 1.0"
"2122 .png , 1.0"
"2644 .png , 1.0"
"4235 .png , -1.0"
"801 .png , 1.0"
"41 .png , 1.0"
"815 .png , 1.0"
"55 .png , 1.0"
"1359 .png , 1.0"
"4221 .png , 1.0"
"3228 .png , 1.0"
"7 .png , 1.0"
"4547 .png , 1.0"
"2136 .png , 1.0"
"3200 .png , 1.0"
"183 .png , 1.0"
"1417 .png , 1.0"
"1371 .png , 1.0"
"2678 .png , 1.0"
"4209 .png , 1.0"
"3572 .png , 1.0"
"829 .png , -1.0"
"69 .png , 1.0"
"1365 .png , 1.0"
"197 .png , -1.0"
"3214 .png , 1.0"
"4396 .png , 1.0"
"1588 .png , -1.0"
"2917 .png , 1.0"
"752 .png , 1.0"
"746 .png , 1.0"
"2903 .png , 1.0"
"3348 .png , -1.0"
"2730 .png , 1.0"
"975 .png , -1.0"
"961 .png , 1.0"
"4355 .png , 1.0"
"2724 .png , 1.0"
"2042 .png , 1.0"
"4433 .png , 1.0"
"3374 .png , 1.0"
"1563 .png , 1.0"
"791 .png , 1.0"
"3412 .png , 1.0"
"3406 .png , -1.0"
"4369 .png , -1.0"
"2718 .png , 1.0"
"1211 .png , -1.0"
"1577 .png , 1.0"
"4180 .png , 1.0"
"3837 .png , -1.0"
"1946 .png , 1.0"
"2297 .png , 1.0"
"3189 .png , 1.0"
"2283 .png , 1.0"
"1952 .png , 1.0"
"578 .png , 1.0"
"4194 .png , 1.0"
"3823 .png , 1.0"
"550 .png , 1.0"
"4802 .png , 1.0"
"236 .png , 1.0"
"4816 .png , -1.0"
"544 .png , 1.0"
"2532 .png , 1.0"
"4143 .png , 1.0"
"2254 .png , 1.0"
"1985 .png , -1.0"
"1749 .png , 1.0"
"1991 .png , 1.0"
"4631 .png , 1.0"
"2526 .png , 1.0"
"4157 .png , -1.0"
"3638 .png , 1.0"
"3610 .png , 1.0"
"1007 .png , 1.0"
"593 .png , 1.0"
"1761 .png , 1.0"
"3176 .png , 1.0"
"4619 .png , 1.0"
"2268 .png , 1.0"
"3162 .png , -1.0"
"1775 .png , 1.0"
"587 .png , -1.0"
"1013 .png , -1.0"
"3604 .png , 1.0"
"1774 .png , 1.0"
"3163 .png , 1.0"
"3605 .png , -1.0"
"1012 .png , -1.0"
"592 .png , 1.0"
"1006 .png , 1.0"
"3611 .png , 1.0"
"2269 .png , 1.0"
"4618 .png , 1.0"
"3177 .png , 1.0"
"1760 .png , 1.0"
"2241 .png , 1.0"
"1990 .png , 1.0"
"1748 .png , 1.0"
"3639 .png , 1.0"
"4156 .png , 1.0"
"2527 .png , 1.0"
"4142 .png , 1.0"
"1984 .png , 1.0"
"2255 .png , 1.0"
"4817 .png , 1.0"
"223 .png , -1.0"
"545 .png , 1.0"
"551 .png , 1.0"
"237 .png , 1.0"
"4803 .png , 1.0"
"1953 .png , 1.0"
"2282 .png , 1.0"
"3822 .png , 1.0"
"4195 .png , 1.0"
"579 .png , 1.0"
"3836 .png , 1.0"
"4181 .png , 1.0"
"3188 .png , 1.0"
"2296 .png , -1.0"
"1947 .png , -1.0"
"784 .png , 1.0"
"1210 .png , 1.0"
"2719 .png , 1.0"
"4368 .png , 1.0"
"3407 .png , -1.0"
"3361 .png , 1.0"
"1576 .png , 1.0"
"1562 .png , 1.0"
"3413 .png , 1.0"
"948 .png , 1.0"
"1204 .png , -1.0"
"790 .png , -1.0"
"2725 .png , 1.0"
"4354 .png , -1.0"
"960 .png , 1.0"
"4432 .png , -1.0"
"2043 .png , 1.0"
"3349 .png , 1.0"
"4426 .png , 1.0"
"2057 .png , 1.0"
"974 .png , -1.0"
"1238 .png , -1.0"
"2731 .png , 1.0"
"2902 .png , -1.0"
"747 .png , 1.0"
"753 .png , 1.0"
"2916 .png , 1.0"
"2080 .png , 1.0"
"1589 .png , 1.0"
"2094 .png , 1.0"
"4383 .png , -1.0"
"1364 .png , 1.0"
"68 .png , 1.0"
"828 .png , 1.0"
"3573 .png , 1.0"
"3215 .png , 1.0"
"196 .png , 1.0"
"1402 .png , 1.0"
"1416 .png , 1.0"
"182 .png , 1.0"
"3201 .png , 1.0"
"3567 .png , 1.0"
"4208 .png , 1.0"
"2679 .png , 1.0"
"4220 .png , 1.0"
"2889 .png , 1.0"
"1358 .png , 1.0"
"54 .png , -1.0"
"814 .png , -1.0"
"2137 .png , 1.0"
"4546 .png , 1.0"
"3229 .png , 1.0"
"2123 .png , 1.0"
"4552 .png , 1.0"
"40 .png , 1.0"
"800 .png , -1.0"
"4234 .png , -1.0"
"2645 .png , 1.0"
"2876 .png , 1.0"
"633 .png , 1.0"
"155 .png , 1.0"
"141 .png , 1.0"
"627 .png , 1.0"
"2862 .png , 1.0"
"97 .png , 1.0"
"2692 .png , -1.0"
"4585 .png , -1.0"
"169 .png , 1.0"
"2686 .png , 1.0"
"3598 .png , 1.0"
"83 .png , 1.0"
"1600 .png , 1.0"
"394 .png , -1.0"
"3017 .png , -1.0"
"2309 .png , -1.0"
"3771 .png , 1.0"
"1166 .png , 1.0"
"1172 .png , 1.0"
"3765 .png , 1.0"
"3003 .png , 1.0"
"380 .png , 1.0"
"1614 .png , 1.0"
"4744 .png , 1.0"
"2335 .png , 1.0"
"2453 .png , 1.0"
"3995 .png , 1.0"
"4022 .png , 1.0"
"2447 .png , 1.0"
"4036 .png , 1.0"
"3759 .png , 1.0"
"1628 .png , 1.0"
"2321 .png , 1.0"
"4988 .png , 1.0"
"357 .png , 1.0"
"431 .png , 1.0"
"425 .png , 1.0"
"343 .png , 1.0"
"1827 .png , 1.0"
"4787 .png , 1.0"
"2490 .png , 1.0"
"3956 .png , -1.0"
"1199 .png , 1.0"
"419 .png , 1.0"
"2484 .png , -1.0"
"3942 .png , -1.0"
"4793 .png , -1.0"
"4973 .png , 1.0"
"347 .png , 1.0"
"435 .png , 1.0"
"353 .png , 1.0"
"4967 .png , -1.0"
"1837 .png , -1.0"
"4797 .png , -1.0"
"2480 .png , 1.0"
"3946 .png , 1.0"
"1189 .png , 1.0"
"409 .png , 1.0"
"2494 .png , 1.0"
"3952 .png , -1.0"
"4783 .png , 1.0"
"1823 .png , 1.0"
"1610 .png , 1.0"
"384 .png , 1.0"
"2319 .png , 1.0"
"3007 .png , -1.0"
"4768 .png , -1.0"
"3761 .png , 1.0"
"1176 .png , 1.0"
"1162 .png , -1.0"
"3775 .png , 1.0"
"3013 .png , 1.0"
"390 .png , -1.0"
"1604 .png , 1.0"
"2325 .png , 1.0"
"4754 .png , 1.0"
"4032 .png , 1.0"
"2443 .png , -1.0"
"3985 .png , 1.0"
"4026 .png , 1.0"
"3749 .png , -1.0"
"3991 .png , 1.0"
"1638 .png , 1.0"
"4998 .png , 1.0"
"4740 .png , 1.0"
"2866 .png , -1.0"
"145 .png , 1.0"
"637 .png , 1.0"
"2872 .png , 1.0"
"87 .png , 1.0"
"2682 .png , 1.0"
"179 .png , -1.0"
"4581 .png , 1.0"
"3588 .png , 1.0"
"2696 .png , 1.0"
"93 .png , 1.0"
"838 .png , -1.0"
"1374 .png , 1.0"
"78 .png , 1.0"
"3563 .png , 1.0"
"3205 .png , 1.0"
"186 .png , 1.0"
"1406 .png , 1.0"
"192 .png , 1.0"
"3211 .png , 1.0"
"2669 .png , 1.0"
"3577 .png , -1.0"
"4218 .png , -1.0"
"1360 .png , -1.0"
"2641 .png , 1.0"
"2899 .png , 1.0"
"4230 .png , 1.0"
"804 .png , 1.0"
"1348 .png , 1.0"
"44 .png , 1.0"
"4556 .png , 1.0"
"3239 .png , 1.0"
"2127 .png , 1.0"
"2 .png , 1.0"
"2133 .png , 1.0"
"50 .png , 1.0"
"2655 .png , -1.0"
"4224 .png , -1.0"
"757 .png , 1.0"
"743 .png , 1.0"
"2906 .png , -1.0"
"4387 .png , 1.0"
"2090 .png , 1.0"
"1599 .png , 1.0"
"2084 .png , 1.0"
"4393 .png , 1.0"
"794 .png , 1.0"
"1200 .png , 1.0"
"4378 .png , 1.0"
"3417 .png , 1.0"
"2709 .png , -1.0"
"3371 .png , 1.0"
"1566 .png , -1.0"
"3365 .png , 1.0"
"3403 .png , -1.0"
"1214 .png , 1.0"
"780 .png , 1.0"
"958 .png , 1.0"
"4344 .png , 1.0"
"2735 .png , 1.0"
"970 .png , 1.0"
"4422 .png , 1.0"
"2047 .png , 1.0"
"3359 .png , -1.0"
"4436 .png , 1.0"
"1228 .png , 1.0"
"964 .png , 1.0"
"4350 .png , -1.0"
"2721 .png , -1.0"
"4807 .png , 1.0"
"233 .png , 1.0"
"555 .png , 1.0"
"541 .png , 1.0"
"4813 .png , 1.0"
"1943 .png , -1.0"
"2292 .png , -1.0"
"4185 .png , -1.0"
"3832 .png , 1.0"
"569 .png , 1.0"
"4191 .png , 1.0"
"3826 .png , -1.0"
"2286 .png , 1.0"
"3198 .png , 1.0"
"1957 .png , 1.0"
"1764 .png , 1.0"
"3173 .png , -1.0"
"3615 .png , 1.0"
"1002 .png , 1.0"